,n_ref,Bleu_4,METEOR,ROUGE_L,CIDEr,CIDEr-R,SPICE
0,1,0.615,0.6625,0.625,0.6575,0.67,0.6525
1,2,0.5625,0.5975,0.575,0.58,0.585,0.64
2,3,0.6125,0.675,0.64,0.68,0.67,0.65
3,4,0.6175,0.64,0.5975,0.63,0.64,0.595
4,5,0.6475,0.6875,0.6575,0.69,0.68,0.64
5,6,0.6225,0.6975,0.6575,0.7225,0.72,0.705
6,7,0.6575,0.745,0.6725,0.7275,0.7175,0.6925
7,8,0.6775,0.76,0.7,0.735,0.7525,0.71
8,9,0.6875,0.7425,0.7125,0.7575,0.74,0.6825
9,10,0.71,0.7525,0.7475,0.765,0.7775,0.715
10,11,0.69,0.7575,0.7625,0.77,0.77,0.72
11,12,0.74,0.775,0.765,0.7975,0.8075,0.7475
12,13,0.6975,0.785,0.71,0.7825,0.77,0.74
13,14,0.7025,0.7625,0.72,0.7625,0.7625,0.71
14,15,0.7,0.8025,0.755,0.825,0.815,0.7125
15,16,0.73,0.8175,0.7425,0.77,0.7725,0.735
16,17,0.7125,0.7675,0.755,0.78,0.7775,0.7275
17,18,0.7275,0.7725,0.7325,0.7875,0.7875,0.75
18,19,0.75,0.77,0.7375,0.7675,0.7675,0.71
19,20,0.7725,0.7775,0.755,0.7925,0.7975,0.7225
20,21,0.7525,0.8025,0.7725,0.8075,0.805,0.75
21,22,0.715,0.78,0.75,0.7975,0.8,0.735
22,23,0.765,0.8125,0.775,0.835,0.8275,0.765
23,24,0.7525,0.8075,0.7725,0.795,0.7875,0.7625
24,25,0.765,0.7725,0.76,0.82,0.81,0.7625
25,26,0.7225,0.785,0.755,0.815,0.81,0.7275
26,27,0.7175,0.8075,0.75,0.81,0.81,0.7425
27,28,0.7575,0.7975,0.7775,0.825,0.8175,0.735
28,29,0.75,0.795,0.77,0.8025,0.8075,0.715
29,30,0.75,0.8025,0.7725,0.7975,0.8,0.73
30,31,0.7425,0.8125,0.7575,0.8175,0.8175,0.7425
31,32,0.73,0.8025,0.765,0.815,0.815,0.765
32,33,0.7525,0.81,0.765,0.82,0.8175,0.7675
33,34,0.7775,0.8075,0.78,0.8475,0.84,0.7675
34,35,0.74,0.8,0.7625,0.815,0.8075,0.7425
35,36,0.755,0.82,0.7575,0.835,0.8325,0.7625
36,37,0.785,0.825,0.7975,0.82,0.815,0.7525
37,38,0.765,0.81,0.76,0.84,0.84,0.755
38,39,0.795,0.8175,0.7875,0.8425,0.8425,0.765
39,40,0.76,0.8075,0.77,0.835,0.835,0.7625
40,41,0.7675,0.8225,0.755,0.825,0.825,0.77
41,42,0.7475,0.7825,0.7625,0.8225,0.82,0.745
42,43,0.76,0.81,0.78,0.8175,0.8175,0.7625
43,44,0.765,0.8175,0.7725,0.8175,0.815,0.7525
44,45,0.77,0.8125,0.7775,0.8175,0.8275,0.765
45,46,0.7575,0.8075,0.765,0.8175,0.8275,0.76
46,47,0.7675,0.815,0.765,0.82,0.8175,0.77
47,48,0.765,0.8075,0.765,0.8175,0.82,0.77
