,n_ref,Bleu_4,METEOR,ROUGE_L,CIDEr,CIDEr-R,SPICE
0,1,0.6470286885245902,0.6892930327868853,0.6503586065573771,0.6810963114754098,0.6823770491803278,0.5268954918032787
1,2,0.7271317829457364,0.8104651162790698,0.765891472868217,0.796124031007752,0.7988372093023256,0.6953488372093023
2,3,0.6992827868852459,0.7674180327868853,0.7261782786885246,0.7566598360655737,0.7594774590163934,0.6800717213114754
3,4,0.750554675118859,0.816798732171157,0.7841521394611728,0.8123613312202853,0.813946117274168,0.7426307448494454
4,5,0.7161885245901639,0.7792008196721312,0.7492315573770492,0.7781762295081968,0.7766393442622951,0.7082479508196722
5,6,0.7709133904818208,0.8332840673958025,0.8007685486254803,0.8297369198935856,0.8291457286432161,0.7735737511084836
6,7,0.7407786885245902,0.7994364754098361,0.7661372950819673,0.7886782786885246,0.7909836065573771,0.7302766393442623
7,8,0.764057643402091,0.8279174908166148,0.7999434868606952,0.8180276914382594,0.8183102571347839,0.7682961288499576
8,9,0.7479508196721312,0.796875,0.7797131147540983,0.7984118852459017,0.8014856557377049,0.7453893442622951
9,10,0.7578712733351909,0.8186124268598496,0.7874059626636947,0.8163833937029813,0.8230704931735859,0.7768180551685706
10,11,0.7459016393442623,0.8091700819672131,0.779969262295082,0.8012295081967213,0.8025102459016393,0.7589651639344263
11,12,0.7824427480916031,0.8328789531079608,0.799618320610687,0.8249727371864777,0.8331515812431843,0.7786259541984732
12,13,0.7553790983606558,0.8045594262295082,0.7835553278688525,0.8012295081967213,0.8035348360655737,0.7653688524590164
13,14,0.7843297843297843,0.822003822003822,0.8132678132678133,0.8318318318318318,0.8331968331968332,0.7843297843297843
14,15,0.7640881147540983,0.8204405737704918,0.7907274590163934,0.8132684426229508,0.8186475409836066,0.7658811475409836
15,16,0.7894736842105263,0.827183939229517,0.8033098209441129,0.8258274552360282,0.8336950623982637,0.7883884970157352
16,17,0.7640881147540983,0.811219262295082,0.7927766393442623,0.8140368852459017,0.8171106557377049,0.7753586065573771
17,18,0.7820478366030637,0.8247782854071486,0.8126847621607095,0.8312281644719162,0.8352593388873959,0.7911851652781511
18,19,0.7692110655737705,0.8183913934426229,0.8022540983606558,0.8160860655737705,0.8201844262295082,0.774077868852459
19,20,0.7868808567603748,0.8380187416331994,0.814190093708166,0.8315930388219545,0.8428380187416332,0.7860776439089692
20,21,0.7658811475409836,0.820952868852459,0.7912397540983607,0.8153176229508197,0.8165983606557377,0.7717725409836066
21,22,0.7836615220862161,0.8286322511974454,0.8044172432144758,0.8251729643427355,0.8281000532197977,0.788983501862693
22,23,0.772797131147541,0.8173668032786885,0.7999487704918032,0.8145491803278688,0.8206967213114754,0.7735655737704918
23,24,0.7808764940239044,0.8220451527224436,0.8100929614873837,0.8252324037184595,0.8297476759628154,0.7917662682602922
24,25,0.772797131147541,0.8130122950819673,0.7996926229508197,0.8165983606557377,0.8181352459016393,0.7743340163934426
25,26,0.7830562153602534,0.8237001847453154,0.8091844813935075,0.8268672472948008,0.8310899973607813,0.7909738717339667
26,27,0.779969262295082,0.8255635245901639,0.8035348360655737,0.8173668032786885,0.8245389344262295,0.7792008196721312
27,28,0.7825165562913907,0.8294039735099338,0.8090066225165563,0.8256953642384106,0.8344370860927153,0.7859602649006623
28,29,0.7761270491803278,0.8214651639344263,0.8037909836065574,0.8150614754098361,0.8173668032786885,0.7797131147540983
29,30,0.7852437417654808,0.8260869565217391,0.8097496706192359,0.8326745718050066,0.8387351778656127,0.7957839262187089
30,31,0.7807377049180327,0.829405737704918,0.8122438524590164,0.8212090163934426,0.8278688524590164,0.7891905737704918
31,32,0.7871666226564563,0.828888302086084,0.8096118299445472,0.82571956693953,0.8328492210192765,0.7855822550831792
32,33,0.7781762295081968,0.8219774590163934,0.8022540983606558,0.8119877049180327,0.8199282786885246,0.7751024590163934
33,34,0.791951604418727,0.841925302472383,0.8174644923724356,0.8314045239347712,0.8395581273014203,0.7922146238821672
34,35,0.7822745901639344,0.8232581967213115,0.8030225409836066,0.8189036885245902,0.8237704918032787,0.7861168032786885
35,36,0.7912174599000789,0.8364449119116487,0.8161977386273994,0.8296082040494347,0.8356560610044702,0.7912174599000789
36,37,0.7817622950819673,0.819672131147541,0.8045594262295082,0.8222336065573771,0.8283811475409836,0.7879098360655737
37,38,0.7899555323044729,0.8318074810358357,0.8179440230185718,0.8270991368035574,0.8323306303949778,0.7894323829453309
38,39,0.7832991803278688,0.8230020491803278,0.8035348360655737,0.8219774590163934,0.8258196721311475,0.7817622950819673
39,40,0.7893772893772893,0.8281004709576139,0.8097854526425955,0.8301936159079016,0.8307169021454736,0.793040293040293
40,41,0.7876536885245902,0.8214651639344263,0.8078893442622951,0.8199282786885246,0.826844262295082,0.7856045081967213
41,42,0.7911227154046997,0.8279373368146214,0.8143603133159268,0.827154046997389,0.8339425587467363,0.7898172323759791
42,43,0.7820184426229508,0.828125,0.8089139344262295,0.8222336065573771,0.8278688524590164,0.7848360655737705
43,44,0.7898720960584704,0.8290263638736622,0.8159749412685983,0.8279822500652572,0.8321587052988776,0.7888279822500652
44,45,0.7861168032786885,0.8201844262295082,0.805327868852459,0.8206967213114754,0.8258196721311475,0.7817622950819673
45,46,0.7925462600990357,0.8292937190513422,0.8141777430284076,0.8274693771175398,0.8324211623664322,0.7886369559551734
46,47,0.7873975409836066,0.8253073770491803,0.8091700819672131,0.8189036885245902,0.8258196721311475,0.7817622950819673
47,48,0.7922416037490236,0.8299921895339756,0.8151523040874772,0.8281697474615985,0.8325956782087998,0.7880760218693049
