,n_ref,Bleu_4,METEOR,ROUGE_L,CIDEr,CIDEr-R,SPICE
0,1,0.562,0.555,0.524,0.526,0.538,0.304
1,2,0.5939086294416244,0.626057529610829,0.6006768189509306,0.6277495769881557,0.637901861252115,0.44839255499153974
2,3,0.572,0.628,0.586,0.594,0.605,0.422
3,4,0.6023936170212766,0.6555851063829787,0.6183510638297872,0.6356382978723404,0.6462765957446809,0.488031914893617
4,5,0.575,0.617,0.59,0.601,0.614,0.469
5,6,0.5717703349282297,0.6435406698564593,0.6004784688995215,0.6160287081339713,0.6279904306220095,0.5095693779904307
6,7,0.554,0.625,0.59,0.59,0.608,0.485
7,8,0.5725900116144018,0.6387921022067363,0.6051103368176539,0.6132404181184669,0.6283391405342624,0.5272938443670151
8,9,0.554,0.625,0.593,0.593,0.609,0.5
9,10,0.5555555555555556,0.6449026345933563,0.6059564719358533,0.6254295532646048,0.6357388316151202,0.5292096219931272
10,11,0.556,0.64,0.603,0.619,0.631,0.507
11,12,0.565121412803532,0.6556291390728477,0.6324503311258278,0.6368653421633554,0.6501103752759382,0.5320088300220751
12,13,0.562,0.65,0.626,0.63,0.639,0.522
13,14,0.5689277899343544,0.6531728665207878,0.6225382932166302,0.6422319474835886,0.649890590809628,0.5415754923413567
14,15,0.565,0.633,0.61,0.625,0.637,0.518
15,16,0.5739130434782609,0.6445652173913043,0.6271739130434782,0.6510869565217391,0.6630434782608695,0.5423913043478261
16,17,0.567,0.641,0.613,0.64,0.653,0.526
17,18,0.5688172043010753,0.6537634408602151,0.6172043010752688,0.6559139784946236,0.6698924731182796,0.546236559139785
18,19,0.562,0.65,0.612,0.655,0.668,0.532
19,20,0.5648936170212766,0.6574468085106383,0.6170212765957447,0.6680851063829787,0.6851063829787234,0.5446808510638298
20,21,0.556,0.655,0.615,0.662,0.678,0.538
21,22,0.5670538542766631,0.6673706441393875,0.6261879619852164,0.675818373812038,0.6927138331573389,0.5543822597676874
22,23,0.562,0.661,0.618,0.664,0.679,0.547
23,24,0.5688748685594112,0.6698212407991588,0.6203995793901157,0.6708727655099895,0.6876971608832808,0.5573080967402734
24,25,0.566,0.663,0.609,0.663,0.677,0.542
25,26,0.5661764705882353,0.6701680672268907,0.6144957983193278,0.6722689075630253,0.6869747899159664,0.5577731092436975
26,27,0.566,0.662,0.612,0.661,0.68,0.548
27,28,0.5720294426919033,0.6729758149316509,0.6214511041009464,0.6719242902208202,0.6929547844374343,0.5636172450052577
28,29,0.573,0.666,0.618,0.666,0.682,0.552
29,30,0.5752855659397715,0.6687435098650052,0.6188992731048806,0.6708203530633438,0.6915887850467289,0.5607476635514018
30,31,0.577,0.663,0.62,0.67,0.691,0.552
31,32,0.5767634854771784,0.671161825726141,0.6244813278008299,0.6753112033195021,0.6898340248962656,0.5643153526970954
32,33,0.574,0.666,0.624,0.665,0.685,0.554
33,34,0.5807453416149069,0.6635610766045549,0.6221532091097308,0.6687370600414079,0.6915113871635611,0.5693581780538303
34,35,0.577,0.661,0.618,0.662,0.683,0.56
35,36,0.5827338129496403,0.6659815005138746,0.6166495375128469,0.6639260020554985,0.6824254881808839,0.5632065775950668
36,37,0.579,0.663,0.62,0.658,0.673,0.553
37,38,0.5844559585492228,0.6694300518134715,0.6248704663212435,0.6683937823834197,0.6839378238341969,0.5658031088082901
38,39,0.581,0.665,0.624,0.657,0.672,0.551
39,40,0.5889003083247688,0.6731757451181911,0.6258992805755396,0.6649537512846866,0.6772867420349434,0.5621788283658787
40,41,0.587,0.669,0.626,0.665,0.676,0.552
41,42,0.593654042988741,0.6755373592630501,0.631525076765609,0.6724667349027635,0.6878198567041965,0.5629477993858751
42,43,0.594,0.676,0.629,0.669,0.687,0.561
43,44,0.5860655737704918,0.6793032786885246,0.6290983606557377,0.6670081967213115,0.6844262295081968,0.5665983606557377
44,45,0.587,0.678,0.632,0.665,0.682,0.563
45,46,0.5966907962771458,0.6804550155118925,0.6370217166494312,0.671147880041365,0.6918304033092038,0.5698035160289555
46,47,0.593,0.674,0.633,0.663,0.681,0.569
47,48,0.5946775844421699,0.6796315250767656,0.6376663254861822,0.6714431934493347,0.6888433981576254,0.5731832139201638
